,0_n,0_l,0_s,0_p,1_n,1_l,1_s,1_p,2_n,2_l,2_s,2_p,3_n,3_l,3_s,3_p,4_n,4_l,4_s,4_p,5_n,5_l,5_s,5_p,6_n,6_l,6_s,6_p,7_n,7_l,7_s,7_p,8_n,8_l,8_s,8_p
0,RPL13,0.65951806,21.33403,5.487010453737444e-101,LTB,2.5084348,22.060343,7.600345445467903e-108,S100A9,7.47082,31.750832,3.0923221537477493e-221,CD74,4.0936165,29.200012,1.938555464060559e-187,CCL5,5.7914515,26.521246,5.5139892392662055e-155,LST1,5.113712,24.55651,3.685002428693402e-133,GNLY,8.146374,20.65624,8.578886286571567e-95,CD74,2.8857665,7.956998,1.7626402329297297e-15,SDPR,11.796149,6.4623766,1.0307124067261657e-10
1,RPS3A,1.0431405,20.91433,3.9656542453169017e-97,B2M,0.37878168,12.549004,4.025455952771152e-36,S100A8,7.633816,31.505796,7.235382084970851e-218,HLA-DRA,4.9227643,27.96124,4.8127411769398306e-172,NKG7,5.2351847,24.032598,1.2693497981955291e-127,COTL1,3.6808,24.302237,1.8564915855398305e-130,NKG7,6.8218436,20.46924,4.04886753089891e-93,HLA-DRB1,3.3556404,7.822072,5.196080302177298e-15,PPBP,12.894264,6.461345,1.0377617703565802e-10
2,MALAT1,0.8578739,19.858807,9.248199202240631e-88,RPS27A,0.7797035,12.159873,5.083788722058609e-34,LYZ,6.0612035,30.986141,8.28615006640416e-211,CD79A,7.660657,27.940868,8.511246717986971e-172,GZMA,4.211754,19.600958,1.5174059454147325e-85,AIF1,4.918003,24.161804,5.61143509606093e-129,GZMB,7.652425,19.708982,1.8055848211881517e-86,HLA-DRA,3.4699848,7.5618725,3.97307362038475e-14,PF4,12.656977,6.461345,1.0377617703565802e-10
3,RPS27A,1.0770817,19.751333,7.8126705350076765e-87,AQP3,2.4586065,11.227631,2.9837334300898913e-29,TYROBP,5.2280493,28.91861,6.967100938687519e-184,CD79B,5.5278273,26.790066,4.218222947863629e-158,CST7,4.279939,19.560015,3.389742396434766e-85,FCER1G,4.7518845,23.857054,8.55585881366325e-126,CTSW,4.81993,19.429323,4.36073724049373e-84,HLA-DPB1,3.2480707,7.411349,1.2502128777202763e-13,GPX1,6.2124624,6.305294,2.8764710485834735e-10
4,SELL,1.1178646,9.616837,6.788661474473196e-22,GIMAP7,1.2346714,10.928085,8.461525323854818e-28,FTL,3.3675058,28.089699,1.3089000984772377e-173,HLA-DPB1,4.0837846,26.196577,2.9070762139855556e-151,B2M,0.75908923,19.195076,4.0688540875401024e-82,FTH1,2.9463124,23.238153,1.8744324019012474e-119,PRF1,6.288334,19.231647,2.011377179408509e-82,ACTB,1.1878695,7.3061576,2.7488974934536814e-13,GNG11,11.92534,5.9959416,2.0230984734802096e-09
5,LTB,1.1234456,8.566541,1.0663978782561923e-17,RPL13,0.35523558,9.142571,6.098461133845911e-20,FCN1,5.2083626,27.849823,1.0824579867634528e-170,HLA-DQA1,5.3368077,25.242191,1.3797827085141723e-140,CTSW,3.2920222,18.285736,1.0750118773667229e-74,SAT1,3.5862453,22.449413,1.2966963821652118e-111,GZMA,5.243651,18.300692,8.170510373915948e-75,HLA-DPA1,2.9298558,7.0243154,2.15118419685579e-12,SPARC,10.471221,5.9892387,2.108253449495036e-09
6,MAL,1.995186,7.184754,6.732838645896967e-13,RPS3A,0.5266528,8.20609,2.285084645960036e-16,S100A6,2.9100177,27.68515,1.0539623266406663e-168,HLA-DRB1,3.8883657,24.477482,2.566294392258725e-132,GZMK,4.9918747,15.793318,3.458978746778987e-56,FTL,3.204219,22.331694,1.8190441797511394e-110,CST7,5.170692,18.069464,5.54491488668928e-73,HLA-DQA1,3.3915982,6.638062,3.178344653926382e-11,NRGN,8.768572,5.9861455,2.1487238847766565e-09
7,SRSF5,0.57653457,6.9427347,3.845810870076443e-12,ARL6IP5,1.0023152,7.9270916,2.243375362053791e-15,CST3,5.2376084,27.130545,4.2963131710646597e-162,HLA-DPA1,3.7174892,24.058382,6.821152266904187e-128,LYAR,3.1816013,13.747151,5.297439092797666e-43,CST3,4.965516,21.98586,3.9326484178382925e-107,B2M,1.0544993,17.626257,1.5488565019218865e-69,CST3,3.084631,6.486368,8.793014915600981e-11,CD9,9.48117,5.982708,2.194578794843337e-09
8,GIMAP5,1.0270842,6.438494,1.206646361242504e-10,GIMAP5,1.2212996,7.404558,1.315877047658539e-13,LGALS2,5.7450476,27.055273,3.310968785668226e-161,TCL1A,6.9569807,18.476212,3.2093532002070007e-76,GZMM,2.6052868,13.219547,6.766992692061006e-40,CTSS,3.5438538,21.824615,1.3547046275877638e-105,FGFBP2,6.583306,17.466234,2.5903854770660187e-68,HLA-DMA,2.5986297,6.3823466,1.7439441652124489e-10,RGS18,8.310841,5.9735994,2.320753236945026e-09
9,GIMAP7,0.708738,6.2291574,4.689507147146249e-10,ACAP1,1.1272922,7.353066,1.937109336523073e-13,LGALS1,4.214919,26.862022,6.104366858820109e-159,LINC00926,7.5550137,16.910913,3.738656293587321e-64,MALAT1,0.7107749,12.9871855,1.4464993587050755e-38,OAZ1,1.9415762,20.620693,1.789771333120694e-94,CD247,3.959092,15.936992,3.5084323535144354e-57,COTL1,1.8888665,5.60945,2.0297077464557428e-08,CCL5,5.635551,5.9268527,3.087956475481447e-09
10,LDLRAP1,1.7438636,5.9358096,2.9239867664667673e-09,TNFRSF4,3.7300174,6.871349,6.3597628809399274e-12,FTH1,2.6983175,26.806185,2.736990165614016e-158,HLA-DMA,3.1233613,16.597757,7.234270733024448e-62,KLRG1,3.6429102,11.91122,1.034526926769939e-32,TYROBP,4.487768,20.44942,6.079363888647888e-93,FCGR3A,4.2222824,14.832498,9.030952614105595e-50,FCER1A,6.7016068,5.58459,2.342521250861106e-08,OAZ1,3.0492017,5.7771606,7.59718349391849e-09
11,FYB,0.75296444,5.3661165,8.044998754489184e-08,FYB,0.9338008,6.6775727,2.429320527390447e-11,GPX1,3.8669622,26.203327,2.4351929382908028e-151,LTB,1.8359331,13.917168,4.982610967281786e-44,PRF1,2.53529,10.571053,4.059139018291699e-26,NPC2,3.2931201,20.435179,8.139386980017446e-93,SPON2,6.045103,14.378879,7.022358767335281e-47,H2AFY,2.0230696,5.475499,4.362797767152794e-08,ACTB,2.4039848,5.607188,2.0563983128585927e-08
12,TRABD2A,1.8543397,4.986879,6.136249683606883e-07,MAL,1.7888255,6.5947027,4.261090703924206e-11,S100A4,2.6903195,25.616993,9.866006525945412e-145,HLA-DMB,3.198583,13.654148,1.9070688105243604e-42,GZMH,3.9610205,10.034193,1.0783736249438424e-23,S100A4,2.5643232,20.221268,6.362782982387142e-91,GZMM,3.4486256,13.945873,3.333430601942676e-44,LGALS1,2.2830873,5.3324823,9.687930689193604e-08,GP9,12.598684,5.5367246,3.081803855698397e-08
13,ACAP1,0.76676023,4.6755605,2.9315179879255033e-06,CORO1B,1.5658573,6.3165092,2.675376773301621e-10,OAZ1,1.9490112,25.198347,4.176357683586593e-140,HVCN1,3.961738,13.373299,8.661259507669353e-41,APOBEC3G,1.9034114,8.020819,1.050424039841937e-15,LGALS1,3.7062242,19.699696,2.1691771671284538e-86,CCL4,5.0935917,13.475216,2.1884504751528583e-41,GPX1,1.8757075,5.1605105,2.4627721296645014e-07,HIST1H2AC,9.05341,5.509914,3.590087751542652e-08
14,SCGB3A1,2.188828,3.2881353,0.0010085336482645116,ITM2A,1.6098937,5.704019,1.170148832116441e-08,AIF1,4.1777825,24.447512,5.348590212805125e-132,IRF8,3.2951286,9.703179,2.9224642666480414e-22,HOPX,2.1702156,7.9943113,1.30300249491034e-15,HLA-DPA1,3.315034,19.023073,1.0985014879546724e-80,SRGN,2.231375,12.963908,1.960018467126412e-38,ATP5C1,2.038956,5.1559286,2.5237706287023585e-07,NCOA4,6.3198066,5.3163967,1.0584216000341353e-07
15,STK17A,0.5324435,3.267786,0.0010839230993591432,CRIP2,2.6507866,5.0858665,3.659515894961911e-07,LST1,4.1028934,24.216955,1.4747554518270056e-129,SNHG7,1.9047346,9.645566,5.132738271982101e-22,MT-CYB,0.5172542,7.7452292,9.540952469312557e-15,S100A6,2.3812864,18.812532,5.962005977987503e-79,HOPX,4.207321,12.952654,2.2696850237597751e-38,HLA-DMB,2.267593,4.945449,7.596867232949213e-07,AP001189.4,11.338115,5.0740705,3.8939437227345876e-07
16,BEX4,1.1121749,3.1728518,0.001509495810381608,GPR183,1.4228488,4.873523,1.096252939855301e-06,CTSS,3.2840838,24.1766,3.921999100827345e-129,FCRLA,6.5328593,8.877172,6.858140082663486e-19,CCL4,2.3855708,7.1225243,1.0596794340262294e-12,ACTB,1.1867602,18.480015,2.9909795717957654e-76,GZMH,4.2307954,11.319236,1.0538654408033767e-29,SNRPB,1.7012087,4.854881,1.2045909691805182e-06,ITGA2B,11.709335,5.0730395,3.915112435369948e-07
17,PPP1R2,0.55469555,3.1671257,0.00153953730880311,SRP9,0.67703885,4.246273,2.173559649363717e-05,SAT1,2.970806,22.94061,1.8284247134956318e-116,LIMD2,0.8800703,8.63224,6.0161976039422705e-18,SAMD3,2.2112741,6.3406587,2.2878507114122248e-10,IFI30,4.1621885,18.395748,1.420864393954087e-75,IGFBP7,4.900537,10.84069,2.207990628065763e-27,SRGN,1.6210012,4.764118,1.8968130939362094e-06,TUBB1,9.9140835,5.056197,4.276996612882807e-07
18,AQP3,0.7901904,3.052547,0.0022690822635151094,CD247,0.61055845,4.131313,3.606970999069559e-05,FCER1G,3.6809518,21.966702,5.996890515780299e-107,HLA-DOB,5.4311767,8.301107,1.0314505010675266e-16,FGFBP2,2.1382077,5.8400574,5.218290204538323e-09,FCGR3A,4.5190816,17.91513,8.985749084264257e-72,FCER1G,2.6046796,10.499083,8.722410291816411e-26,PYCARD,1.613687,4.7321415,2.2216331542039658e-06,CLU,10.141274,5.048979,4.4417822037139213e-07
19,ITM2A,0.93498105,2.9654822,0.003022086904842467,TNFRSF25,2.0750995,3.94255,8.06198867584002e-05,COTL1,2.6133342,21.470913,2.9123835039041296e-102,PKIG,5.6974206,8.093639,5.790812379259661e-16,RPS27A,0.5919165,5.811607,6.187595722161364e-09,HLA-DRB1,3.1238904,17.134691,8.178526790951168e-66,CCL5,3.089545,9.948124,2.5698298151204758e-23,LYZ,2.4804394,4.6453757,3.3945771213834806e-06,MPP1,6.887605,4.987796,6.107212057669189e-07
20,RIC3,1.0534594,2.7128334,0.006671062252046265,LDLRAP1,1.1625419,3.8235054,0.0001315677602126188,NPC2,2.9805794,21.05729,1.9607891596482175e-98,SMIM14,2.9838805,8.026669,1.0015525337414038e-15,GIMAP7,0.7724839,5.7489176,8.981657896222166e-09,LYZ,3.2392821,16.927437,2.824124366486404e-64,AKR1C3,6.271639,9.54867,1.3137274969264943e-21,PRDX3,2.4491642,4.624513,3.7547920095291548e-06,SAT1,3.365271,4.984874,6.200221277515729e-07
21,MT-CYB,0.14552735,2.5821044,0.009819987027924143,CD96,1.1319758,3.7011497,0.00021462482871236206,MS4A6A,4.880401,20.267313,2.499406690292068e-91,CD72,5.293872,7.659988,1.8595033098606833e-14,CD247,1.0234609,5.164794,2.40704118003669e-07,PYCARD,2.7397056,16.631239,4.139500532859836e-62,APOBEC3G,2.5662758,9.277791,1.7302776537063356e-20,RGS1,2.654494,4.597996,4.265741124471109e-06,FERMT3,5.1038733,4.710753,2.468030037669868e-06
22,ATP6V0E2,1.1023623,2.510544,0.012054527987187558,PASK,1.9528217,3.6429117,0.0002695714323441531,PYCARD,2.7007065,18.593245,3.644538803762318e-77,P2RX5,4.428702,7.6055055,2.8379257336761924e-14,TIGIT,2.485991,5.056287,4.2749781324258197e-07,FCN1,3.4041476,15.97307,1.9685193226698666e-57,TYROBP,2.3420486,8.803926,1.3211145790112083e-18,ISOC2,2.9141893,4.56251,5.054572228575909e-06,TMEM40,11.517516,4.613479,3.9598438406158255e-06
23,FKBP5,1.1762228,2.5062861,0.01220067989798013,ICAM2,0.6898375,3.561372,0.0003689217749483619,TALDO1,2.6426044,18.119278,2.2451962789020177e-73,RPL13,0.35060924,7.515806,5.6561312570596066e-14,GZMB,1.5472809,4.8804445,1.05847101170356e-06,SRGN,2.1793056,15.608616,6.360214293350767e-55,PDIA3,1.9264992,8.742136,2.2874428324073027e-18,YWHAE,2.1697404,4.537065,5.704250766654165e-06,TREML1,11.021514,4.609354,4.0392158491106755e-06
24,XXbac-BPG299F13.17,0.8326657,2.4800935,0.013134794853746508,ATP6V0E1,0.454889,3.5554926,0.000377271538076211,LGALS3,3.3553162,18.10726,2.793147753627402e-73,SPIB,5.282545,7.0947905,1.2954762968969355e-12,C9orf142,1.1418041,4.499166,6.822052587990123e-06,HLA-DRA,3.0969343,15.504251,3.246814697357053e-54,PRSS23,5.402749,8.001704,1.2270841244505738e-15,RAB7A,1.6185526,4.531703,5.851003022526787e-06,PTCRA,10.982414,4.608667,4.052591886565354e-06
25,DENND2D,0.6481982,2.3940272,0.016664511480384305,REXO2,1.0881221,3.3150828,0.0009161602571157416,SRGN,1.8601177,15.692886,1.6918530697523025e-55,IGLL5,5.554921,6.697277,2.1233879655859734e-11,SH2D1A,1.8892714,4.2821145,1.851256951271959e-05,HLA-DPB1,2.681854,15.361713,2.9565738221918446e-53,XCL1,5.740087,7.416459,1.2029303720495973e-13,CLEC10A,5.0027814,4.457806,8.28027506887022e-06,CA2,8.7999935,4.5876994,4.481569529499342e-06
26,PASK,1.2115697,2.3536222,0.018591495719893804,MALAT1,0.26958495,3.2769277,0.0010494321397775616,FCGRT,2.941326,15.383352,2.116982045625366e-53,RPS3A,0.49101874,6.5119843,7.416438059591328e-11,TMBIM6,0.46931452,3.984473,6.763004752691879e-05,S100A9,2.6879132,14.772265,2.211533042257458e-49,ZAP70,2.5799906,7.3016605,2.842373484770529e-13,GSN,3.4291444,4.343841,1.4001297273286103e-05,PGRMC1,7.035557,4.5430155,5.545522625624845e-06
27,CISH,1.0848405,2.296186,0.021665249349667084,S100A4,0.73915136,3.266747,0.0010879088302326659,NCF2,3.4203656,15.344106,3.878658844726102e-53,KIAA0125,5.9134254,6.4981337,8.132257788618696e-11,STK17A,0.7263074,3.7028656,0.0002131777579889781,ABI3,3.2078705,14.302013,2.125707222049778e-46,ACTB,0.633539,7.2845697,3.2269844239436724e-13,SUMO3,1.6941358,4.2843723,1.8325588697059103e-05,ODC1,5.4315715,4.3649654,1.2714272605985061e-05
