Cell Type	Z-score	Cluster
Naive CD8+ T cell	1.7128078221123018	0
Central memory CD4+ T cell	1.5316623953859516	0
Central memory CD8+ T cell	1.5316623953859516	0
Naive CD4 T cell	1.5316623953859516	0
Oligodendrocyte	0.7137377096353187	0
Naive CD4+ T cell	-0.4824884512372047	0
Goblet cell	-0.5605317216806522	0
Club cell (Clara cell)	-0.6538853007438787	0
Secretory cell	-0.6538853007438787	0
CD4+ T cell	-0.663633877963555	0
CD8+ T cell	-0.663633877963555	0
Distal tubule & loop of Henle cell	-0.663633877963555	0
Naive CD8 T cell	-0.663633877963555	0
T cell	-0.663633877963555	0
Epiblast cell	-0.6762862768410421	0
Mitotic fetal germ cell	-0.6762862768410421	0
Effector memory T cell	3.7800983767550687	1
Regulatory T(Treg) cell	3.5251226746620925	1
T cell	3.0621777041235485	1
T follicular helper(Tfh) cell	2.8388053848517125	1
CD4+ T cell	2.471912648478855	1
Activated T cell	1.1601525120342122	1
Endothelial cell	0.5348020299617292	1
Follicular helper (Tfh) T cell	0.38143354391572704	1
Naive CD4 T cell	0.3814088184834502	1
Naive CD8+ T cell	0.37043253620009803	1
Central memory CD4+ T cell	0.33185403215068743	1
Central memory CD8+ T cell	0.33185403215068743	1
Principal cell	0.23876364336089287	1
Memory CD4+ T cell	0.23876364336089287	1
Oligodendrocyte	0.044088338074212655	1
Natural killer T (NKT) cell	-0.1605822020193915	1
Mitotic fetal germ cell	-0.34397170839156466	1
Effector T cell	-0.36464761681793234	1
Regulatory T (Treg) cell	-0.3712216365483998	1
Multilymphoid progenitor cell	-0.39057617082368457	1
Gonadal endothelial cell	-0.3916721729964161	1
CD8+ T cell	-0.39193389663211603	1
Regulatory CD4+ T cell	-0.4021555575453086	1
Activated effector cell	-0.4021555575453086	1
T helper 2(Th2) cell	-0.4021555575453086	1
Exhausted CD4+ T cell	-0.4065312156870464	1
Thymus seeding progenitor (TSP)	-0.4262882416919409	1
Dendritic cell 2A	-0.4262882416919409	1
Lymphocyte	-0.4262882416919409	1
Natural killer cell	-0.4262882416919409	1
B cell	-0.4262882416919409	1
B progenitor cell	-0.4262882416919409	1
Plasmacytoid dendritic cell	-0.4262882416919409	1
Basal cell	-0.4272726128064801	1
Memory CD8+ T cell	-0.4272726128064801	1
Gonadal mitotic phase fetal germ cell	-0.4272726128064801	1
Airway secretory cell	-0.4272726128064801	1
Pancreatic polypeptide cell	-0.4272726128064801	1
SLC16A7+ cell	-0.4348488940166271	1
Central memory T cell	-0.4372645239752931	1
Megakaryocyte erythroid cell	-0.43833508729732745	1
Exhausted T(Tex) cell	-0.43833508729732745	1
TolDC-induced regulatory T cell	-0.43833508729732745	1
Effector regulatory T(eTreg) cell	-0.43833508729732745	1
Activated CD4+ T cell	-0.43833508729732745	1
T helper cell	-0.43833508729732745	1
Pathogenic T peripheral helper cell	-0.43833508729732745	1
T helper2 (Th2) cell	-0.43833508729732745	1
Leydig cell	-0.4389553353518414	1
Ciliated cell	-0.4389553353518414	1
Fibrocartilage chondrocyte	-0.4389553353518414	1
Goblet cell	-0.4389553353518414	1
M1 macrophage	-0.4389553353518414	1
Neuroendocrine cell	-0.4401309571564474	1
Brush cell (Tuft cell)	-0.4401309571564474	1
Paneth cell	-0.4401309571564474	1
Epiblast cell	-0.4401309571564474	1
Naive CD4+ T cell	-0.44050431185033967	1
Naive CD8 T cell	-0.44050431185033967	1
Distal tubule & loop of Henle cell	-0.44050431185033967	1
Panvascular cell	-0.44403915641442265	1
PROCR+ progenitor cell	-0.44403915641442265	1
Monocyte	10.123247241513132	2
Macrophage	4.552539541828346	2
Neutrophil	2.754466630076329	2
Myeloid cell	2.5287424751805774	2
Microglial cell	2.5106468010929492	2
Dendritic cell	1.151756441313583	2
Natural killer cell	0.38933315855926726	2
Classical monocyte	0.38193741873440584	2
CD14+ monocyte	0.38045064697015496	2
M1 macrophage	0.3649228754118165	2
CD16+ monocyte	0.17411146829415788	2
Astrocyte	0.17055931364611032	2
B cell	0.16841268446648458	2
Natural killer T(NKT) cell	0.12890353667106794	2
Fibroblast	0.11962054773015089	2
Myeloid derived suppressor cell (MDSC)	0.08989228044840532	2
Mononuclear phagocyte	0.07310422395845231	2
Endothelial cell	0.05164946878002465	2
Neuron	0.03325568790746462	2
Paneth cell	0.024770616504975782	2
Monocyte-derived dendritic cell	0.01312018150795078	2
Hepatocyte	-0.040112625271652935	2
Megakaryocyte	-0.0476541403062634	2
CD1C-CD141- dendritic cell	-0.060206770379819224	2
Hematopoietic stem cell	-0.06800602066711223	2
Excitatory neuron	-0.06854228798773435	2
CD1C+_B dendritic cell	-0.07189631689286985	2
Natural killer T (NKT) cell	-0.07547662441286497	2
Memory T cell	-0.08625498953241675	2
Trophectoderm cell	-0.09881337210439833	2
Mesenchymal cell	-0.10940682115969316	2
Memory CD4+ T cell	-0.10940682115969316	2
CD4+ T cell	-0.11709769425644996	2
Antigen-presenting cell	-0.12511230813144042	2
Eosinophil	-0.13867094469823485	2
Monocyte derived dendritic cell	-0.17371941630274912	2
Type 3 dendritic cell (DC3)	-0.17380548479579264	2
Sertoli cell	-0.175944773226818	2
Mitotic fetal germ cell	-0.176606091663617	2
CD14 monocyte	-0.17795389475292497	2
